,标题,学校,门类/专业,招生人数,发布时间,链接
71,佳木斯大学接收调剂研究生,佳木斯大学,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2020-03-14 12:32,http://muchong.com/t-14137995-1
72,佳木斯大学接收调剂研究生,佳木斯大学,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2020-03-04 07:50,http://muchong.com/t-14115562-1
73,上海海事大学信息工程学院接收调剂研究生,上海海事,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2020-03-04 01:50,http://muchong.com/t-14115477-1
74,浙江科技学院万健课题组接收硕士研究生调剂,浙江科技,工学 -> 计算机科学与技术  ,0,2020-02-29 16:14,http://muchong.com/t-14107531-1
75,招调剂硕士生,,工学 -> 计算机科学与技术  ,1,2020-02-29 10:49,http://muchong.com/t-14106728-1
76,华侨大学计算机学院计算机视觉与模式识别实验室钟必能课题组研究生招生,华侨大学,工学 -> 计算机科学与技术  -> 计算机应用技术,3,2020-02-28 23:06,http://muchong.com/t-14106041-1
77,华东交通大学 图像处理与光计算团队,华东交通大学,工学 -> 计算机科学与技术  ,0,2020-02-27 10:33,http://muchong.com/t-14101198-1
78,无损检测与光电传感技术及应用国家工程实验室(南昌航空大学)2020年研究生调剂信息,南昌航空大学,工学 -> 计算机科学与技术  ,15,2020-02-26 11:23,http://muchong.com/t-14098392-1
79,暂停招生,山东农大,工学 -> 计算机科学与技术  -> 计算机应用技术,1,2020-02-25 20:00,http://muchong.com/t-14096620-1
80,成都理工大学油气田开发工程硕士预调剂,成都理工,工学 -> 计算机科学与技术  -> 计算机应用技术,1,2020-02-25 16:28,http://muchong.com/t-14096047-1
81,【学硕】福建农林大学计算机科学与技术专业杨长才课题组招收调剂生4名,福建农林大学,工学 -> 计算机科学与技术  ,4,2020-02-24 12:29,http://muchong.com/t-14091329-1
82,福建师范大学“网络空间安全（0839，工科）”和“应用数学”接收调剂生,福建师范大学,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2020-02-24 09:23,http://muchong.com/t-14090382-1
83,图像/视频取证方向拟招收计算机/数学背景学生,西南科大,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2020-02-24 02:35,http://muchong.com/t-14089881-1
84,东北石油大学计算机科学与技术专业接收调剂考生,东北石油大学,工学 -> 计算机科学与技术  ,20,2020-02-23 12:58,http://muchong.com/t-14087747-1
85,佳木斯大学接收调剂研究生,佳木斯大学,工学 -> 计算机科学与技术  -> 计算机应用技术,1,2020-02-23 00:24,http://muchong.com/t-14086070-1
86,浙江科技学院智能信号处理与通信算法课题组招生简介,浙江科技,工学 -> 计算机科学与技术  ,0,2020-02-22 23:31,http://muchong.com/t-14085926-1
87,浙江科技学院智能信号处理与通信算法课题组招生简介,浙江科技,工学 -> 计算机科学与技术  ,0,2020-02-22 21:44,http://muchong.com/t-14085671-1
88,2020接受考研调剂，计算机,华侨大学,工学 -> 计算机科学与技术  -> 计算机应用技术,3,2020-02-22 18:43,http://muchong.com/t-14085143-1
89,2020接受考研调剂，计算机,华侨大学,工学 -> 计算机科学与技术  -> 计算机应用技术,3,2020-02-22 18:43,http://muchong.com/t-14085144-1
90,福建师范大学数信学院肖如良教授教授招收计算机专业调剂生（限学术型硕士）,福建师范大学,工学 -> 计算机科学与技术  ,2,2020-02-22 13:05,http://muchong.com/t-14084021-1
91,删帖,安徽农大,工学 -> 计算机科学与技术  ,3,2020-02-22 10:00,http://muchong.com/t-14083220-1
92,调剂硕士生,山东大学,工学 -> 计算机科学与技术  ,0,2020-02-22 09:09,http://muchong.com/t-14082926-1
93,合工大调剂,合肥工大,工学 -> 计算机科学与技术  ,5,2020-02-21 17:53,http://muchong.com/t-14081140-1
94,杭州智能计算团队招收计算机方向学硕/专硕2~3人,杭州师范,工学 -> 计算机科学与技术  ,3,2020-02-21 10:36,http://muchong.com/t-14079174-1
95,上海工程技术大学材料工程学院接受调剂研究生,上海工程,工学 -> 计算机科学与技术  ,2,2020-02-20 21:45,http://muchong.com/t-14077656-1
96,上海工程技术大学材料工程学院接受调剂研究生,上海工程,工学 -> 计算机科学与技术  ,1,2020-02-20 21:45,http://muchong.com/t-14077658-1
97,济南大学智能计算与科学计算课题组拟接收计算机专业 (学术型) 硕士生调剂-预宣传,济南大学,工学 -> 计算机科学与技术  ,4,2020-02-20 19:03,http://muchong.com/t-14077175-1
98,华侨大学计算机科学与技术学院王成导师招收调剂生,华侨大学,工学 -> 计算机科学与技术  ,4,2020-02-20 17:17,http://muchong.com/t-14076833-1
